X,Y
-1.832,-58.255
-1.778,-58.303
-1.725,-58.352
-1.672,-58.400
-1.619,-58.448
-1.566,-58.497
-1.512,-58.545
-1.459,-58.594
-1.405,-58.642
-1.352,-58.691
-1.298,-58.740
-1.243,-58.788
-1.189,-58.837
-1.134,-58.886
-1.079,-58.935
-1.024,-58.984
-0.968,-59.033
-0.912,-59.083
-0.856,-59.132
-0.799,-59.182
-0.742,-59.231
-0.685,-59.281
-0.627,-59.331
-0.568,-59.381
-0.509,-59.432
-0.450,-59.482
-0.390,-59.532
-0.330,-59.583
-0.270,-59.633
-0.209,-59.682
-0.148,-59.731
-0.088,-59.780
-0.027,-59.828
0.034,-59.875
0.095,-59.921
0.155,-59.966
0.216,-60.010
0.276,-60.052
0.336,-60.093
0.395,-60.133
0.454,-60.171
0.512,-60.207
0.570,-60.242
0.627,-60.275
0.684,-60.305
0.740,-60.333
0.795,-60.359
0.849,-60.383
0.902,-60.404
0.954,-60.423
1.006,-60.439
1.056,-60.452
1.106,-60.463
1.155,-60.471
1.203,-60.476
1.250,-60.478
1.296,-60.477
1.341,-60.473
1.386,-60.466
1.429,-60.456
1.472,-60.442
1.514,-60.425
1.555,-60.405
1.595,-60.382
1.634,-60.355
1.673,-60.325
1.710,-60.293
1.747,-60.258
1.783,-60.220
1.819,-60.180
1.853,-60.138
1.887,-60.093
1.920,-60.047
1.952,-59.999
1.984,-59.949
2.015,-59.898
2.045,-59.846
2.074,-59.792
2.103,-59.737
2.131,-59.681
2.159,-59.625
2.186,-59.568
2.213,-59.510
2.239,-59.451
2.264,-59.391
2.289,-59.331
2.314,-59.271
2.338,-59.210
2.362,-59.148
2.385,-59.086
2.408,-59.023
2.431,-58.961
2.454,-58.897
2.477,-58.834
2.499,-58.770
2.521,-58.706
2.543,-58.642
2.565,-58.578
2.587,-58.514
2.609,-58.449
